Scrip Code,COMPANY,ISIN No.,Close Price
530117,Privi Speciality Chemicals Ltd,INE959A01019,1099.4
500126,Procter & Gamble Health Limited,INE199A01012,5211.7
500459,Procter & Gamble Hygiene & Health Care Ltd,INE179A01014,17185.15
533295,Punjab & Sind Bank,INE608A01012,44.55
532461,Punjab National Bank,INE160A01022,97.72
532689,PVR INOX Ltd,INE191H01014,1526.85
539978,Quess Corp Ltd,INE615P01015,519.6
532497,Radico Khaitan Ltd,INE944F01028,1655.2
542649,Rail Vikas Nigam Ltd,INE415G01027,203.1
500339,Rain Industries Limited,INE855B01025,150.05
543524,Rainbow Children's Medicare Ltd,INE961O01016,1280.85
531500,Rajesh Exports Ltd,INE343B01030,370.65
500260,Ramco Cements Ltd,INE331A01037,993.25
524230,Rashtriya Chemicals & Fertilizers Ltd.,INE027A01015,169.1
520111,Ratnamani Metals & Tubes Ltd,INE703B01027,3333.4
500330,Raymond Ltd.,INE301A01014,1739.8
540065,RBL Bank Ltd,INE976G01028,292.15
532955,REC Ltd,INE020B01018,428.75
532805,Redington Ltd,INE891D01026,177.75
530517,Relaxo Footwears Ltd,INE131B01039,895.05
500325,Reliance Industries Ltd,INE002A01018,2740.1
543248,Restaurant Brands Asia Ltd,INE07T201019,125.7
534076,Rhi Magnesita India Ltd,INE743M01012,783.7
541556,RITES Ltd,INE320J01015,520.3
543213,Rossari Biotech Ltd,INE02A801020,790.45
543228,Route Mobile Ltd,INE450U01017,1650.05
517334,Samvardhana Motherson International Ltd,INE775A01035,107.35
500674,Sanofi India Ltd,INE058A01010,8462.8
543397,Sapphire Food India Ltd,INE806T01012,1445.05
543066,SBI Cards and Payment Services Limited,INE018E01016,766.65
540719,SBI Life Insurance Company Ltd,INE123W01016,1435
505790,Schaeffler India Ltd,INE513A01022,3344.75
540203,Sheela Foam Ltd,INE916U01025,1225.2
532638,Shoppers Stop Ltd,INE498B01024,704.1
500387,Shree Cement Ltd,INE070A01015,26886.1
532670,Shree Renuka Sugars Ltd,INE087H01022,46.73
511218,Shriram Finance Ltd,INE721A01013,2292.75
543299,Shyam Metalics and Energy Ltd,INE810G01011,682.9
500550,Siemens India Ltd,INE003A01024,4151.45
540673,SIS Limited,INE285J01028,460.5
533206,SJVN Ltd,INE002L01015,94.22
500472,SKF India Ltd,INE640A01023,4576.35
532784,Sobha Limited,INE671H01015,1347.25
532725,Solar Industries India Ltd,INE343H01029,7306.9
543300,Sona BLW Precision Forgings Ltd,INE073K01018,604.95
532221,Sonata Software Ltd,INE269A01021,755.5
503806,SRF Ltd,INE647A01010,2345.55
540575,Star Cement Ltd,INE460H01021,178.3
543412,Star Health and Allied Insurance Company Ltd,INE575P01011,555.3
500112,State Bank of India,INE062A01020,633.75
500113,Steel Authority of India Ltd,INE114A01011,114.9
542760,Sterling and Wilson Renewable Energy Ltd,INE00M201021,461.5
532374,Sterlite Technologies Ltd.,INE089C01029,149.1
542920,Sumitomo Chemical India Ltd,INE258G01013,408.35
532872,Sun Pharma Advanced Research Co Ltd,INE232I01014,384.55
524715,Sun Pharmaceutical Industries Ltd,INE044A01036,1324.85
532733,Sun TV Network Ltd,INE424H01027,709.5
500403,Sundaram Fastners,INE387A01021,1255.2
512179,Sunteck Realty Ltd,INE805D01034,460.9
509930,Supreme Industries,INE195A01028,4217.3
500405,Supreme Petrochem Ltd.,INE663A01033,556.85
543064,Suven Pharmaceuticals Limited,INE03QK01018,716
532667,Suzlon Energy Ltd,INE040H01021,44.97
503310,Swan Energy Ltd.,INE665A01038,561.2
517385,Symphony Ltd,INE225D01027,931.5
539268,Syngene International Ltd,INE398R01022,731.8
543596,Tamilnad Mercantile Bank Ltd,INE668A01016,495.2
532790,Tanla Platforms Ltd,INE483C01032,1187.25
500770,Tata Chemicals Ltd,INE092A01019,1113.05
532301,Tata Coffee Ltd.,INE493A01027,344.8
500483,Tata Communications Ltd,INE151A01013,1745.9
532540,Tata Consultancy Services Ltd,INE467B01029,3881.7
500800,Tata Consumer Products Ltd,INE192A01025,1158.7
500408,Tata Elxsi Ltd,INE670A01012,8731.3
501301,Tata Investment Corp Ltd,INE672A01018,4424.25
500570,Tata Motors Ltd,INE155A01022,816.25
570001,Tata Motors Ltd DVR,IN9155A01020,543.6
500400,Tata Power Co Ltd,INE245A01021,357.65
500470,Tata Steel Ltd,INE081A01020,135.3
532371,Tata Teleservices Maharashtra Ltd,INE517B01013,93.76
540212,TCI Express Ltd,INE586V01016,1379
532755,Tech Mahindra Ltd,INE669C01036,1307.55
540595,Tejas Networks Ltd,INE010J01012,861
540769,The New India Assurance Company Ltd,INE470Y01017,215
500411,Thermax Ltd,INE152A01029,3210.6
522113,Timken India Ltd.,INE325A01013,3353.95
500114,Titan Co Ltd,INE280A01028,3724.2
500420,Torrent Pharmaceuticals Ltd,INE685A01028,2468.35
532779,Torrent Power Ltd,INE813H01021,1013.75
500251,Trent Ltd.,INE849A01020,3212.75
521064,Trident Ltd.,INE064C01022,47.48
533655,Triveni Turbine Limited,INE152M01016,403.45
517506,TTK Prestige Ltd,INE690A01028,768.95
540762,Tube Investments Of India,INE974X01010,3886.6
532800,TV18 Broadcast Ltd,INE886H01027,64.56
532343,TVS Motor Co Ltd,INE494B01023,2085.3
532505,UCO Bank,INE691A01018,41.42
542904,Ujjivan Small Finance Bank Ltd,INE551W01018,59.24
532538,UltraTech Cement Ltd,INE481G01011,9807.6
532477,Union Bank of India,INE692A01016,131.2
532478,United Breweries Ltd,INE686F01025,1793.65
532432,United Spirits Ltd,INE854D01024,1111.65
532539,UNO Minda Ltd,INE405E01023,715.45
512070,UPL Ltd,INE628A01036,565
517146,Usha Martin Ltd,INE228A01035,320.4
543238,UTI Asset Management Company Ltd,INE094J01016,900.85
532953,V-Guard Industries Ltd,INE951I01027,293.9
534976,V-Mart Retail Limited,INE665J01013,2088.8
532156,Vaibhav Global Ltd,INE884A01027,431.7
502986,Vardhman Textiles Ltd.,INE825A01020,403.7
541578,Varroc Engineering Ltd,INE665L01035,554
540180,Varun Beverages Ltd,INE200M01021,1265.15
543463,Vedant Fashions Ltd,INE825V01034,1200.3
500295,Vedanta Ltd,INE205A01025,272.4
524200,Vinati Organics Ltd,INE410B01037,1718.5
507880,VIP Industries Ltd,INE054A01027,575.3
532822,Vodafone Idea Ltd,INE669E01016,15.87
500575,Voltas Ltd,INE226A01021,1058.6
509966,VST Industries Ltd.,INE710A01016,3625.4
532144,Welspun Corp Ltd,INE191B01025,530.55
514162,Welspun Living Ltd.,INE192B01031,153.9
505533,Westlife Development Ltd,INE274F01020,822.6
500238,Whirlpool of India Ltd,INE716A01013,1356.15
507685,Wipro Ltd,INE075A01022,465.45
532648,Yes Bank Ltd,INE528G01035,24.91
505537,Zee Entertainment Enterprises Ltd,INE256A01028,250.05
504067,Zensar Technologies Ltd,INE520A01027,570.2
533023,ZF Commercial Vehicle Control Systems India Ltd,INE342J01019,16250.35
543320,Zomato Ltd,INE758T01015,139.6
532321,Zydus Lifesciences Ltd,INE010B01027,703.7
