SYMBOL,UNDERLYING ASSET,OPEN,HIGH,LOW,PREV.CLOSE,LTP,CHNG,%CHNG,VOLUME,VALUE,NAV,52W H,52W L,30D %CHNG,365 D,365 D %CHNG,30 D
DSPSILVETF,DSP Silver ETF,70.19,70.30,70.12,70.08,70.25,0.17,0.24,2,188,0.02,70.05,78.80,60.52,-3.64,18-Jan-2023,2.08,19-Dec-2023
HDFCBSE500,HDFC S&P BSE 500 ETF,30.50,31.90,30.50,30.98,31.05,0.07,0.23,4,337,0.01,30.90,34.00,22.35,2.08,-,-,19-Dec-2023
HDFCSILVER,HDFC Silver ETF,69.96,70.24,69.20,69.99,70.15,0.16,0.23,20,652,0.14,68.93,77.15,60.89,-3.74,18-Jan-2023,2.97,19-Dec-2023
BSLGOLDETF,Gold,55.44,55.99,55.44,55.39,55.51,0.12,0.22,1,108,0.01,55.49,57.80,42.82,-0.29,18-Jan-2023,8.31,19-Dec-2023
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,70.03,70.14,70.00,69.85,70.00,0.15,0.21,11,04,209,7.74,69.84,76.27,60.79,-3.5,18-Jan-2023,2.42,19-Dec-2023
DSPPVBKETF,DSP Nifty Private Bank ETF,23.92,23.96,23.79,23.75,23.80,0.05,0.21,14,341,0.03,23.65,28.06,21.75,-4.54,-,-,19-Dec-2023
NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,19.13,19.13,18.70,18.75,18.79,0.04,0.21,96,877,0.18,18.65,20.50,13.41,2.57,18-Jan-2023,30.84,19-Dec-2023
SILVERIETF,Domestic Price of Silver,72.62,72.68,72.41,72.50,72.62,0.12,0.17,80,936,0.59,72.33,79.41,63.09,-,-,-,-
MAHKTECH,Hang Seng TECH Total Return Index,12.64,12.69,12.54,12.64,12.66,0.02,0.16,5,10,741,0.64,11.24,16.96,12.43,-6.58,18-Jan-2023,-19.80,19-Dec-2023
DSPSENXETF,DSP S&P BSE Sensex ETF,71.80,72.19,71.63,71.52,71.63,0.11,0.15,108,-,71.38,83.00,63.03,-0.24,-,-,19-Dec-2023
